GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_NAME	GO ASPECT
UniProtKB	Q61290	Cacna1e	part_of	GO:0099056	integral component of presynaptic membrane	10090	Voltage-dependent R-type calcium channel subunit alpha-1E	C
UniProtKB	Q61301	Ctnna2	part_of	GO:0098888	extrinsic component of presynaptic membrane	10090	Catenin alpha-2	C
UniProtKB	Q61301	Ctnna2	part_of	GO:0098831	presynaptic active zone cytoplasmic component	10090	Catenin alpha-2	C
UniProtKB	Q61301	Ctnna2	part_of	GO:0098831	presynaptic active zone cytoplasmic component	10090	Catenin alpha-2	C
UniProtKB	Q61301	Ctnna2	part_of	GO:0098888	extrinsic component of presynaptic membrane	10090	Catenin alpha-2	C
UniProtKB	Q61301	Ctnna2	part_of	GO:0098888	extrinsic component of presynaptic membrane	10090	Catenin alpha-2	C
UniProtKB	Q61301	Ctnna2	part_of	GO:0098888	extrinsic component of presynaptic membrane	10090	Catenin alpha-2	C
UniProtKB	Q61327	Slc6a3	part_of	GO:0042734	presynaptic membrane	10090	Sodium-dependent dopamine transporter	C
UniProtKB	Q61327	Slc6a3	involved_in	GO:0051583	dopamine uptake involved in synaptic transmission	10090	Sodium-dependent dopamine transporter	P
UniProtKB	Q61327	Slc6a3	part_of	GO:0099056	integral component of presynaptic membrane	10090	Sodium-dependent dopamine transporter	C
UniProtKB	Q61327	Slc6a3	part_of	GO:0099056	integral component of presynaptic membrane	10090	Sodium-dependent dopamine transporter	C
UniProtKB	Q61391	Mme	part_of	GO:0008021	synaptic vesicle	10090	Neprilysin	C
UniProtKB	Q61391	Mme	part_of	GO:0098793	presynapse	10090	Neprilysin	C
UniProtKB	Q61391	Mme	part_of	GO:0098793	presynapse	10090	Neprilysin	C
UniProtKB	Q61418	Clcn4	part_of	GO:0008021	synaptic vesicle	10090	H(+)/Cl(-) exchange transporter 4	C
UniProtKB	Q61423	Kcna4	part_of	GO:0099056	integral component of presynaptic membrane	10090	Potassium voltage-gated channel subfamily A member 4	C
UniProtKB	Q61527	Erbb4	part_of	GO:0099056	integral component of presynaptic membrane	10090	Receptor tyrosine-protein kinase erbB-4	C
UniProtKB	Q61527	Erbb4	part_of	GO:0099056	integral component of presynaptic membrane	10090	Receptor tyrosine-protein kinase erbB-4	C
UniProtKB	Q61548	Snap91	part_of	GO:0008021	synaptic vesicle	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	involved_in	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	10090	Clathrin coat assembly protein AP180	P
UniProtKB	Q61548	Snap91	part_of	GO:0042734	presynaptic membrane	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	involved_in	GO:0048488	synaptic vesicle endocytosis	10090	Clathrin coat assembly protein AP180	P
UniProtKB	Q61548	Snap91	part_of	GO:0098894	extrinsic component of presynaptic endocytic zone membrane	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	part_of	GO:0048787	presynaptic active zone membrane	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	part_of	GO:0042734	presynaptic membrane	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	part_of	GO:0008021	synaptic vesicle	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	part_of	GO:0098894	extrinsic component of presynaptic endocytic zone membrane	10090	Clathrin coat assembly protein AP180	C
